Rnd.,Pick #,NFL Team,Player,Pos.,College,Conf.,Notes
7,234,Miami Dolphins,Myles Gaskin,RB,Washington,,From PIT through CLE
7,235,Jacksonville Jaguars,Dontavius Russell,DT,Auburn,,From SEA through OAK
7,236,Seattle Seahawks,John Ursua,WR,Hawaii,,From BAL through JAX
7,237,Carolina Panthers,Terry Godwin,WR,Georgia,,From HOU through DEN
7,238,Chicago Bears,Stephen Denmark,DB,Valdosta State,,
7,239,Minnesota Vikings,Dillon Mitchell,WR,Oregon,,From PHI through NE
7,240,Indianapolis Colts,Jackson Barton,OT,Utah,,
7,241,Dallas Cowboys,Jalen Jelks,DE,Oregon,,
7,242,Los Angeles Chargers,Cortez Broughton,DT,Cincinnati,,
7,243,Los Angeles Rams,Nick Scott,DB,Penn State,,From KC through SF and CLE and NE
7,244,New Orleans Saints,Kaden Elliss,LB,Idaho,,
7,245,New York Giants,Chris Slayton,DT,Syracuse,,From LA
7,246,Indianapolis Colts,Javon Patterson,C,Mississippi,,From NE through PHI
7,247,Minnesota Vikings,Olabisi Johnson,WR,Colorado State,,Compensatory Selection
7,248,Arizona Cardinals,Joshua Miles,OT,Morgan State,,Compensatory Selection
7,249,Arizona Cardinals,Michael Dogbe,DE,Temple,,Compensatory Selection
7,250,Minnesota Vikings,Austin Cutting,LS,Air Force,,Compensatory Selection
7,251,Los Angeles Rams,Dakota Allen,LB,Texas Tech,,Compensatory Selection
7,252,New England Patriots,Kendarius Webster,DB,Mississippi,,Compensatory Selection
7,253,Washington Redskins,Jordan Brailford,LB,Oklahoma State,,Compensatory Selection
7,254,Arizona Cardinals,Caleb Wilson,TE,UCLA,,Compensatory Selection
