Rnd.,Pick #,NFL Team,Player,Pos.,College,Conf.,Notes
4,127,Seattle Seahawks,E.J. Wilson,DE,North Carolina,,From NYJ through PHI
4,128,Detroit Lions,Jason Fox,OT,Miami,,From MIN
4,129,Indianapolis Colts,Jacques McClendon,OG,Tennessee,,
4,130,Arizona Cardinals,O'Brien Schofield,LB,Wisconsin,,From NO
4,131,Cincinnati Bengals,Roddrick Muckelroy,LB,Texas,,Compensatory Selection
5,132,St. Louis Rams,Michael Hoomanawanui,TE,Illinois,,
5,133,Seattle Seahawks,Kam Chancellor,DB,Virginia Tech,,From DET
5,134,Philadelphia Eagles,Ricky Sapp,LB,Clemson,,From TB through CLE
5,135,Atlanta Falcons,Dominique Franks,DB,Oklahoma,,From WAS through STL
5,136,Kansas City Chiefs,Kendrick Lewis,DB,Mississippi,,
5,137,Denver Broncos,Perrish Cox,DB,Oklahoma State,,From CLE through PHI
5,138,Oakland Raiders,Walter McFadden,DB,Auburn,,
5,139,New York Jets,John Conner,RB,Kentucky,,From SEA
5,140,Buffalo Bills,Ed Wang,OT,Virginia Tech,,
5,141,Chicago Bears,Joshua Moore,DB,Kansas State,,
5,142,Kansas City Chiefs,Cameron Sheffield,LB,Troy State,,From MIA
5,143,Jacksonville Jaguars,Larry Hart,DE,Central Arkansas,,
5,144,Houston Texans,Sherrick McManis,DB,Northwestern,,From CAR through KC
5,145,Miami Dolphins,Nolan Carroll,DB,Maryland,,From SF
5,146,San Diego Chargers,Cam Thomas,DT,North Carolina,,From DEN through DET and CLE and PHI
5,147,New York Giants,Mitch Petrus,OG,Arkansas,,
5,148,Tennessee Titans,Robert Johnson,DB,Utah,,
5,149,St. Louis Rams,Hall Davis,DE,Louisiana-Lafayette,,From ATL
5,150,New England Patriots,Zoltan Mesko,P,Michigan,,From HOU
5,151,Pittsburgh Steelers,Chris Scott,OG,Tennessee,,
5,152,Cincinnati Bengals,Otis Hudson,OG,Eastern Illinois,,
5,153,Jacksonville Jaguars,Austen Lane,DE,Murray State,,From NE through TB and OAK
5,154,Green Bay Packers,Andrew Quarless,TE,Penn State,,
5,155,Arizona Cardinals,John Skelton,QB,Fordham,,From PHI through NYJ and PIT
5,156,Baltimore Ravens,David Reed,WR,Utah,,
5,157,Baltimore Ravens,Art Jones,DT,Syracuse,,From ARI
5,158,New Orleans Saints,Matt Tennant,C,Boston College,,From DAL through DEN and NE and OAK and JAX
5,159,Philadelphia Eagles,Riley Cooper,WR,Florida,,From SD
5,160,Cleveland Browns,Larry Asante,DB,Nebraska,,From NYJ
5,161,Minnesota Vikings,Chris DeGeare,OG,Wake Forest,,
5,162,Indianapolis Colts,Brody Eldridge,TE,Oklahoma,,
5,163,Miami Dolphins,Reshad Jones,DB,Georgia,,From NO through PHI and STL and WAS
5,164,Pittsburgh Steelers,Crezdon Butler,DB,Clemson,,Compensatory Selection
5,165,Atlanta Falcons,Kerry Meier,WR,Kansas,,Compensatory Selection
5,166,Pittsburgh Steelers,Stevenson Sylvester,LB,Utah,,Compensatory Selection
5,167,Minnesota Vikings,Nathan Triplett,LB,Minnesota,,Compensatory Selection
5,168,San Diego Chargers,Jonathan Crompton,QB,Tennessee,,Compensatory Selection
5,169,Green Bay Packers,Marshall Newhouse,OT,Texas Christian,,Compensatory Selection
6,170,St. Louis Rams,Fendi Onobun,TE,Houston,,
6,171,Atlanta Falcons,Shann Schillinger,DB,Montana,,From DET
6,172,Tampa Bay Buccaneers,Brent Bowden,P,Virginia Tech,,
6,173,San Francisco 49ers,Anthony Dixon,RB,Mississippi State,,From KC through MIA and SD
